Month,Channel,Category,Qualified Lead Goal,Booked Opportunity Goal,Approved Budget,Sold Amount Goal,Revenue Goal,Budget Type,Approved By,Approved At,Status,Effective From,Revision Reason,Notes
2026-08,Yelp,paid,,,,,,platform,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Google LSA,paid,,,,,,platform,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Google Ads,paid,,,,,,platform,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Paid Social,paid,,,,,,platform,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Radio,paid,,,,,,manual,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Direct Mail,paid,,,,,,prepaid,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Website,organic,,,,,,none,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,GBP San Jose,organic,,,,,,none,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,669-COOLING,organic,,,,,,none,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
2026-08,Existing Customers,retention,,,,,,none,,,Draft,2026-08-01,,Awaiting Tim and Emil approval
